"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","GRADRATEFIELD","BUSINESS","PC","A","2018",30.806,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2016",14.222,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.233,
"TUR","GRADRATEFIELD","ENGINEERING","PC","A","2018",15.326,
"GBR","GRADRATEFIELD","EDU","PC","A","2016",9.253,
"GBR","GRADRATEFIELD","EDU","PC","A","2017",8.743,
"GBR","GRADRATEFIELD","EDU","PC","A","2018",8.262,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2016",13.433,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2017",14.252,
"GBR","GRADRATEFIELD","HEALTH","PC","A","2018",14.691,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2016",22.043,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2017",22.07,
"GBR","GRADRATEFIELD","BUSINESS","PC","A","2018",22.249,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2016",9.138,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2017",9.083,
"GBR","GRADRATEFIELD","ENGINEERING","PC","A","2018",9.065,
"USA","GRADRATEFIELD","EDU","PC","A","2016",6.752,
"USA","GRADRATEFIELD","EDU","PC","A","2017",6.619,
"USA","GRADRATEFIELD","EDU","PC","A","2018",6.495,
"USA","GRADRATEFIELD","HEALTH","PC","A","2016",17.01,
"USA","GRADRATEFIELD","HEALTH","PC","A","2017",17.165,
"USA","GRADRATEFIELD","HEALTH","PC","A","2018",17.266,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2016",19.304,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2017",19.124,
"USA","GRADRATEFIELD","BUSINESS","PC","A","2018",19.079,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2016",6.929,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2017",7.174,
"USA","GRADRATEFIELD","ENGINEERING","PC","A","2018",7.24,
"ARG","GRADRATEFIELD","EDU","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","EDU","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","HEALTH","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","HEALTH","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","BUSINESS","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","BUSINESS","PC","A","2017",,"M"
"ARG","GRADRATEFIELD","ENGINEERING","PC","A","2016",,"M"
"ARG","GRADRATEFIELD","ENGINEERING","PC","A","2017",,"M"
"BRA","GRADRATEFIELD","EDU","PC","A","2016",19.699,
"BRA","GRADRATEFIELD","EDU","PC","A","2017",20.346,
"BRA","GRADRATEFIELD","EDU","PC","A","2018",19.106,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2016",13.944,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2017",14.683,
"BRA","GRADRATEFIELD","HEALTH","PC","A","2018",16.319,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2016",35.564,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2017",33.488,
"BRA","GRADRATEFIELD","BUSINESS","PC","A","2018",32.483,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2016",11.009,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2017",11.964,
"BRA","GRADRATEFIELD","ENGINEERING","PC","A","2018",13.044,
"CHL","GRADRATEFIELD","EDU","PC","A","2016",15.054,
"CHL","GRADRATEFIELD","EDU","PC","A","2017",14.96,
"CHL","GRADRATEFIELD","EDU","PC","A","2018",14.069,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2016",21.461,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2017",21.667,
"CHL","GRADRATEFIELD","HEALTH","PC","A","2018",22.402,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2016",24.473,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2017",24.041,
"CHL","GRADRATEFIELD","BUSINESS","PC","A","2018",24.62,
"CHL","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.53,
